2013-02-25 12:27:36.000000 {"type":"message","timestamp":"1361795256.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tommorris","nickname":"tommorris","name":"tommorris","username":null},"content":"oh, I need an account on whatwg wiki"}
2013-02-25 12:33:32.000000 {"type":"message","timestamp":"1361795612.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"yes you do"}
2013-02-25 12:33:46.000000 {"type":"message","timestamp":"1361795626.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"ask annevk in #whatwg"}
2013-02-25 12:34:03.000000 {"type":"message","timestamp":"1361795643.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"goes to update that page slightly with one more entry"}
2013-02-25 12:36:10.000000 {"type":"message","timestamp":"1361795770.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tommorris","nickname":"tommorris","name":"tommorris","username":null},"content":"whatwg page updated."}
2013-02-25 12:38:24.000000 {"type":"message","timestamp":"1361795904.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tommorris","nickname":"tommorris","name":"tommorris","username":null},"content":"stalks tantek's Special:Contribs on whatwg wiki to see if there's anything else he can expand on."}
2013-02-25 13:07:52.000000 {"type":"join","timestamp":"1361797672.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tobyink","nickname":"tobyink","name":"tobyink","username":null},"content":"tobyink joined #microformats"}
2013-02-25 13:27:52.000000 {"type":"join","timestamp":"1361798872.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"csarven","nickname":"csarven","name":"csarven","username":null},"content":"csarven joined #microformats"}
2013-02-25 13:29:04.000000 {"type":"join","timestamp":"1361798944.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"bnvk","nickname":"bnvk","name":"bnvk","username":null},"content":"bnvk joined #microformats"}
2013-02-25 13:39:33.000000 {"type":"join","timestamp":"1361799573.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"grosroro","nickname":"grosroro","name":"grosroro","username":null},"content":"grosroro joined #microformats"}
2013-02-25 13:54:59.000000 {"type":"join","timestamp":"1361800499.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"ChiefRA","nickname":"ChiefRA","name":"ChiefRA","username":null},"content":"ChiefRA joined #microformats"}
